Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 		2022M06	46.932
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 		2022M05	51.623
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 		2022M04	55.947
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 		2022M03	37.661
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 		2022M02	35.280
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 		2022M01	23.468
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en España	2022M06	41.171
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en España	2022M05	44.522
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en España	2022M04	50.678
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en España	2022M03	34.122
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en España	2022M02	32.769
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en España	2022M01	21.376
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en el Extranjero	2022M06	5.760
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en el Extranjero	2022M05	7.100
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en el Extranjero	2022M04	5.269
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en el Extranjero	2022M03	3.539
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en el Extranjero	2022M02	2.511
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total 	Residentes en el Extranjero	2022M01	2.093
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 		2022M06	83.815
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 		2022M05	95.112
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 		2022M04	105.827
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 		2022M03	69.813
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 		2022M02	63.427
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 		2022M01	38.899
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en España	2022M06	72.863
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en España	2022M05	82.759
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en España	2022M04	97.143
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en España	2022M03	62.847
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en España	2022M02	58.378
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en España	2022M01	35.609
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en el Extranjero	2022M06	10.952
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en el Extranjero	2022M05	12.353
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en el Extranjero	2022M04	8.684
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en el Extranjero	2022M03	6.966
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en el Extranjero	2022M02	5.050
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total 	Residentes en el Extranjero	2022M01	3.289
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total 		2022M06	611.199
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total 		2022M05	590.649
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total 		2022M04	541.596
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total 		2022M03	360.805
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total 		2022M02	287.697
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total 		2022M01	180.901
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total 	Residentes en España	2022M06	258.698
